# fqxv decode thread-scaling — combined results backing docs/decode-scaling.md
# Two dedicated Slurm jobs, one per build; every row's byte count verified
# against the plain FASTQ:
#   job 227034 (compute19, 32 CPU / 64 GB): DRR174812 + SRR2627175 rows,
#     fqxv v0.6.2-8-g4d6b434 — short-read archives byte-identical to v0.7.0
#     (quality mode 5 is long-read-only)
#   job 227269 (compute21, 32 CPU / 64 GB): DRR205413 rows,
#     fqxv v0.6.2-9-g102fa86 — the v0.7.0 chunked-quality codebase (#279)
# cpu: Intel(R) Xeon(R) Gold 6240R CPU @ 2.40GHz (both nodes)
# gzip: gzip 1.12
# pigz: pigz 2.8
# zstd: zstd 1.5.7
# timer: hyperfine 1.20.0 (median of 3 runs, 1 warmup)
# thread_steps: 1 2 4 8 16 32  tools: fqxv fqxv-max gzip pigz zstd
dataset	tool	threads	seconds	mb_per_s	bytes_out	bytes_ok	comp_bytes	reps
DRR174812	fqxv	1	342.690	29.4	10085268548	yes	1167711281	3
DRR174812	fqxv	2	211.842	47.6	10085268548	yes	1167711281	3
DRR174812	fqxv	4	132.252	76.3	10085268548	yes	1167711281	3
DRR174812	fqxv	8	90.028	112.0	10085268548	yes	1167711281	3
DRR174812	fqxv	16	56.429	178.7	10085268548	yes	1167711281	3
DRR174812	fqxv	32	42.321	238.3	10085268548	yes	1167711281	3
DRR174812	fqxv-max	1	154.075	65.5	10085268548	yes	496094456	3
DRR174812	fqxv-max	2	99.787	101.1	10085268548	yes	496094456	3
DRR174812	fqxv-max	4	72.697	138.7	10085268548	yes	496094456	3
DRR174812	fqxv-max	8	58.773	171.6	10085268548	yes	496094456	3
DRR174812	fqxv-max	16	52.089	193.6	10085268548	yes	496094456	3
DRR174812	fqxv-max	32	52.029	193.8	10085268548	yes	496094456	3
DRR174812	gzip	1	58.512	172.4	10085268548	yes	2137288036	3
DRR174812	pigz	1	38.640	261.0	10085268548	yes	2137288036	3
DRR174812	pigz	2	29.835	338.0	10085268548	yes	2137288036	3
DRR174812	pigz	4	29.841	338.0	10085268548	yes	2137288036	3
DRR174812	pigz	8	29.773	338.7	10085268548	yes	2137288036	3
DRR174812	pigz	16	29.799	338.4	10085268548	yes	2137288036	3
DRR174812	pigz	32	29.965	336.6	10085268548	yes	2137288036	3
DRR174812	zstd	1	12.973	777.4	10085268548	yes	1132604951	3
DRR174812	zstd	2	12.923	780.4	10085268548	yes	1132604951	3
DRR174812	zstd	4	12.966	777.8	10085268548	yes	1132604951	3
DRR174812	zstd	8	12.926	780.2	10085268548	yes	1132604951	3
DRR174812	zstd	16	12.956	778.4	10085268548	yes	1132604951	3
DRR174812	zstd	32	13.003	775.6	10085268548	yes	1132604951	3
SRR2627175	fqxv	1	113.488	20.7	2343806117	yes	567778946	3
SRR2627175	fqxv	2	68.472	34.2	2343806117	yes	567778946	3
SRR2627175	fqxv	4	41.534	56.4	2343806117	yes	567778946	3
SRR2627175	fqxv	8	26.918	87.1	2343806117	yes	567778946	3
SRR2627175	fqxv	16	26.493	88.5	2343806117	yes	567778946	3
SRR2627175	fqxv	32	26.523	88.4	2343806117	yes	567778946	3
SRR2627175	fqxv-max	1	62.963	37.2	2343806117	yes	392606607	3
SRR2627175	fqxv-max	2	37.499	62.5	2343806117	yes	392606607	3
SRR2627175	fqxv-max	4	24.435	95.9	2343806117	yes	392606607	3
